"";BBSIS.M.I.ZAR.ZI.EUR.S1311.B.A604.R17XX.R.A.A._Z._Z.A;BBSIS.M.I.ZAR.ZI.EUR.S1311.B.A604.R17XX.R.A.A._Z._Z.A_FLAGS
"";Aus der Zinsstruktur abgeleitete Renditen für Bundeswertpapiere  mit jährl. Kuponzahlungen / RLZ 17 Jahre / Monatswerte;
Dezimalstellen;2;
Dimension;Eins;
Einheit;Prozent;
Einheit (englisch);percent;
Format der Zeitangabe;P1M;
Kategorie;GKZR;
Stand vom;02.01.2025 10:53:37 Uhr;
1986-06;6,19;
1986-07;6,16;
1986-08;5,98;
1986-09;6,37;
1986-10;6,63;
1986-11;6,26;
1986-12;6,30;
1987-01;6,28;
1987-02;6,46;
1987-03;6,09;
1987-04;6,11;
1987-05;6,16;
1987-06;6,62;
1987-07;6,84;
1987-08;6,97;
1987-09;7,29;
1987-10;6,88;
1987-11;6,85;
1987-12;6,99;
1988-01;7,16;
1988-02;6,83;
1988-03;6,88;
1988-04;7,08;
1988-05;7,27;
1988-06;7,23;
1988-07;7,31;
1988-08;7,25;
1988-09;7,01;
1988-10;6,78;
1988-11;6,92;
1988-12;6,89;
1989-01;6,93;
1989-02;7,11;
1989-03;7,12;
1989-04;6,97;
1989-05;7,09;
1989-06;6,88;
1989-07;6,73;
1989-08;6,91;
1989-09;7,05;
1989-10;7,15;
1989-11;7,30;
1989-12;7,29;
1990-01;7,69;
1990-02;8,46;
1990-03;8,34;
1990-04;8,84;
1990-05;8,70;
1990-06;8,60;
1990-07;8,45;
1990-08;8,85;
1990-09;8,99;
1990-10;8,84;
1990-11;8,63;
1990-12;9,09;
1991-01;8,39;
1991-02;8,15;
1991-03;8,25;
1991-04;8,11;
1991-05;8,06;
1991-06;8,28;
1991-07;8,47;
1991-08;8,19;
1991-09;8,15;
1991-10;8,05;
1991-11;7,91;
1991-12;7,76;
1992-01;7,57;
1992-02;7,60;
1992-03;7,62;
1992-04;7,81;
1992-05;7,79;
1992-06;7,89;
1992-07;7,89;
1992-08;7,72;
1992-09;7,30;
1992-10;7,24;
1992-11;7,17;
1992-12;7,10;
1993-01;7,02;
1993-02;6,81;
1993-03;6,89;
1993-04;6,92;
1993-05;6,98;
1993-06;6,82;
1993-07;6,68;
1993-08;6,35;
1993-09;6,39;
1993-10;6,19;
1993-11;6,20;
1993-12;6,07;
1994-01;6,13;
1994-02;6,66;
1994-03;6,83;
1994-04;7,10;
1994-05;7,39;
1994-06;7,34;
1994-07;7,32;
1994-08;7,60;
1994-09;7,84;
1994-10;7,82;
1994-11;7,64;
1994-12;7,82;
1995-01;7,63;
1995-02;7,55;
1995-03;7,57;
1995-04;7,41;
1995-05;7,08;
1995-06;7,41;
1995-07;7,28;
1995-08;7,19;
1995-09;7,22;
1995-10;7,03;
1995-11;6,77;
1995-12;6,61;
1996-01;6,45;
1996-02;6,96;
1996-03;6,98;
1996-04;6,85;
1996-05;7,01;
1996-06;7,04;
1996-07;6,87;
1996-08;6,93;
1996-09;6,65;
1996-10;6,57;
1996-11;6,34;
1996-12;6,42;
1997-01;6,38;
1997-02;6,04;
1997-03;6,43;
1997-04;6,38;
1997-05;6,50;
1997-06;6,23;
1997-07;5,99;
1997-08;6,15;
1997-09;5,94;
1997-10;6,01;
1997-11;5,87;
1997-12;5,68;
1998-01;5,43;
1998-02;5,30;
1998-03;5,27;
1998-04;5,42;
1998-05;5,25;
1998-06;5,16;
1998-07;5,05;
1998-08;4,75;
1998-09;4,55;
1998-10;4,76;
1998-11;4,54;
1998-12;4,50;
1999-01;4,24;
1999-02;4,61;
1999-03;4,67;
1999-04;4,50;
1999-05;4,78;
1999-06;5,08;
1999-07;5,24;
1999-08;5,42;
1999-09;5,57;
1999-10;5,55;
1999-11;5,53;
1999-12;5,69;
2000-01;5,85;
2000-02;5,72;
2000-03;5,46;
2000-04;5,58;
2000-05;5,43;
2000-06;5,44;
2000-07;5,40;
2000-08;5,41;
2000-09;5,44;
2000-10;5,44;
2000-11;5,32;
2000-12;5,19;
2001-01;5,16;
2001-02;5,10;
2001-03;5,12;
2001-04;5,39;
2001-05;5,58;
2001-06;5,48;
2001-07;5,33;
2001-08;5,25;
2001-09;5,32;
2001-10;4,94;
2001-11;5,00;
2001-12;5,27;
2002-01;5,21;
2002-02;5,23;
2002-03;5,49;
2002-04;5,39;
2002-05;5,41;
2002-06;5,22;
2002-07;5,16;
2002-08;4,91;
2002-09;4,77;
2002-10;4,99;
2002-11;4,96;
2002-12;4,70;
2003-01;4,53;
2003-02;4,54;
2003-03;4,63;
2003-04;4,70;
2003-05;4,31;
2003-06;4,50;
2003-07;4,65;
2003-08;4,66;
2003-09;4,62;
2003-10;4,82;
2003-11;4,87;
2003-12;4,75;
2004-01;4,77;
2004-02;4,60;
2004-03;4,54;
2004-04;4,73;
2004-05;4,79;
2004-06;4,77;
2004-07;4,68;
2004-08;4,52;
2004-09;4,45;
2004-10;4,34;
2004-11;4,22;
2004-12;4,12;
2005-01;3,90;
2005-02;4,03;
2005-03;4,04;
2005-04;3,81;
2005-05;3,67;
2005-06;3,54;
2005-07;3,54;
2005-08;3,49;
2005-09;3,51;
2005-10;3,70;
2005-11;3,70;
2005-12;3,52;
2006-01;3,70;
2006-02;3,70;
2006-03;3,95;
2006-04;4,18;
2006-05;4,17;
2006-06;4,28;
2006-07;4,14;
2006-08;3,99;
2006-09;3,83;
2006-10;3,89;
2006-11;3,84;
2006-12;4,05;
2007-01;4,20;
2007-02;4,08;
2007-03;4,20;
2007-04;4,35;
2007-05;4,51;
2007-06;4,68;
2007-07;4,49;
2007-08;4,49;
2007-09;4,56;
2007-10;4,43;
2007-11;4,42;
2007-12;4,62;
2008-01;4,37;
2008-02;4,38;
2008-03;4,42;
2008-04;4,57;
2008-05;4,75;
2008-06;4,85;
2008-07;4,74;
2008-08;4,52;
2008-09;4,50;
2008-10;4,36;
2008-11;3,86;
2008-12;3,65;
2009-01;4,02;
2009-02;3,94;
2009-03;3,92;
2009-04;4,04;
2009-05;4,33;
2009-06;4,17;
2009-07;4,04;
2009-08;3,88;
2009-09;3,87;
2009-10;4,00;
2009-11;3,86;
2009-12;4,04;
2010-01;3,88;
2010-02;3,82;
2010-03;3,76;
2010-04;3,64;
2010-05;3,29;
2010-06;3,24;
2010-07;3,33;
2010-08;2,65;
2010-09;2,85;
2010-10;3,08;
2010-11;3,24;
2010-12;3,53;
2011-01;3,65;
2011-02;3,64;
2011-03;3,82;
2011-04;3,74;
2011-05;3,55;
2011-06;3,63;
2011-07;3,31;
2011-08;2,91;
2011-09;2,62;
2011-10;2,88;
2011-11;3,02;
2011-12;2,50;
2012-01;2,59;
2012-02;2,54;
2012-03;2,57;
2012-04;2,44;
2012-05;1,93;
2012-06;2,34;
2012-07;2,10;
2012-08;2,07;
2012-09;2,18;
2012-10;2,23;
2012-11;2,14;
2012-12;2,03;
2013-01;2,24;
2013-02;2,21;
2013-03;2,06;
2013-04;1,95;
