"";BBSIS.M.I.ZAR.ZI.EUR.S1311.B.A604.R21XX.R.A.A._Z._Z.A;BBSIS.M.I.ZAR.ZI.EUR.S1311.B.A604.R21XX.R.A.A._Z._Z.A_FLAGS
2019-10;-0,02;
2019-11;0,01;
2019-12;0,20;
2020-01;-0,04;
2020-02;-0,28;
2020-03;-0,13;
2020-04;-0,18;
2020-05;-0,07;
2020-06;-0,14;
2020-07;-0,24;
2020-08;-0,02;
2020-09;-0,23;
2020-10;-0,32;
2020-11;-0,27;
2020-12;-0,26;
2021-01;-0,18;
2021-02;0,09;
2021-03;0,17;
2021-04;0,22;
2021-05;0,27;
2021-06;0,18;
2021-07;-0,08;
2021-08;-0,08;
2021-09;0,13;
2021-10;0,07;
2021-11;-0,14;
2021-12;0,04;
2022-01;0,14;
2022-02;0,35;
2022-03;0,66;
2022-04;0,92;
2022-05;1,31;
2022-06;1,69;
2022-07;1,17;
2022-08;1,67;
2022-09;2,15;
2022-10;2,25;
2022-11;1,89;
2022-12;2,53;
2023-01;2,31;
2023-02;2,65;
2023-03;2,43;
2023-04;2,43;
2023-05;2,45;
2023-06;2,45;
2023-07;2,62;
2023-08;2,63;
2023-09;3,01;
2023-10;3,02;
2023-11;2,68;
2023-12;2,28;
2024-01;2,45;
2024-02;2,66;
2024-03;2,48;
2024-04;2,71;
2024-05;2,87;
2024-06;2,67;
2024-07;2,55;
2024-08;2,50;
2024-09;2,47;
2024-10;2,64;
2024-11;2,32;
2024-12;2,61;
