"";BBSIS.M.I.ZAR.ZI.EUR.S1311.B.A604.R20XX.R.A.A._Z._Z.A;BBSIS.M.I.ZAR.ZI.EUR.S1311.B.A604.R20XX.R.A.A._Z._Z.A_FLAGS
1996-08;7,02;
1996-09;6,74;
1996-10;6,66;
1996-11;6,44;
1996-12;6,52;
1997-01;6,47;
1997-02;6,13;
1997-03;6,52;
1997-04;6,48;
1997-05;6,60;
1997-06;6,33;
1997-07;6,06;
1997-08;6,24;
1997-09;6,02;
1997-10;6,09;
1997-11;5,94;
1997-12;5,75;
1998-01;5,50;
1998-02;5,37;
1998-03;5,35;
1998-04;5,49;
1998-05;5,32;
1998-06;5,21;
1998-07;5,13;
1998-08;4,86;
1998-09;4,68;
1998-10;4,91;
1998-11;4,66;
1998-12;4,63;
1999-01;4,37;
1999-02;4,74;
1999-03;4,80;
1999-04;4,64;
1999-05;4,92;
1999-06;5,20;
1999-07;5,36;
1999-08;5,54;
1999-09;5,67;
1999-10;5,64;
1999-11;5,64;
1999-12;5,78;
2000-01;5,92;
2000-02;5,78;
2000-03;5,53;
2000-04;5,61;
2000-05;5,45;
2000-06;5,47;
2000-07;5,42;
2000-08;5,44;
2000-09;5,50;
2000-10;5,50;
2000-11;5,38;
2000-12;5,28;
2001-01;5,26;
2001-02;5,20;
2001-03;5,23;
2001-04;5,47;
2001-05;5,65;
2001-06;5,56;
2001-07;5,41;
2001-08;5,35;
2001-09;5,43;
2001-10;5,05;
2001-11;5,07;
2001-12;5,32;
2002-01;5,25;
2002-02;5,29;
2002-03;5,54;
2002-04;5,46;
2002-05;5,46;
2002-06;5,27;
2002-07;5,22;
2002-08;4,98;
2002-09;4,85;
2002-10;5,08;
2002-11;5,03;
2002-12;4,79;
2003-01;4,62;
2003-02;4,65;
2003-03;4,74;
2003-04;4,80;
2003-05;4,42;
2003-06;4,61;
2003-07;4,77;
2003-08;4,76;
2003-09;4,72;
2003-10;4,92;
2003-11;4,95;
2003-12;4,83;
2004-01;4,86;
2004-02;4,70;
2004-03;4,65;
2004-04;4,83;
2004-05;4,88;
2004-06;4,86;
2004-07;4,77;
2004-08;4,62;
2004-09;4,54;
2004-10;4,44;
2004-11;4,31;
2004-12;4,22;
2005-01;3,98;
2005-02;4,10;
2005-03;4,11;
2005-04;3,90;
2005-05;3,75;
2005-06;3,62;
2005-07;3,62;
2005-08;3,56;
2005-09;3,59;
2005-10;3,77;
2005-11;3,76;
2005-12;3,57;
2006-01;3,74;
2006-02;3,74;
2006-03;3,98;
2006-04;4,22;
2006-05;4,21;
2006-06;4,32;
2006-07;4,18;
2006-08;4,03;
2006-09;3,85;
2006-10;3,90;
2006-11;3,86;
2006-12;4,06;
2007-01;4,22;
2007-02;4,10;
2007-03;4,23;
2007-04;4,38;
2007-05;4,53;
2007-06;4,70;
2007-07;4,51;
2007-08;4,53;
2007-09;4,60;
2007-10;4,47;
2007-11;4,48;
2007-12;4,67;
2008-01;4,45;
2008-02;4,46;
2008-03;4,52;
2008-04;4,64;
2008-05;4,81;
2008-06;4,89;
2008-07;4,78;
2008-08;4,57;
2008-09;4,57;
2008-10;4,41;
2008-11;3,90;
2008-12;3,72;
2009-01;4,06;
2009-02;4,00;
2009-03;4,01;
2009-04;4,11;
2009-05;4,42;
2009-06;4,26;
2009-07;4,12;
2009-08;3,98;
2009-09;3,96;
2009-10;4,08;
2009-11;3,95;
2009-12;4,13;
2010-01;3,96;
2010-02;3,90;
2010-03;3,83;
2010-04;3,71;
2010-05;3,36;
2010-06;3,30;
2010-07;3,39;
2010-08;2,70;
2010-09;2,92;
2010-10;3,12;
2010-11;3,27;
2010-12;3,56;
2011-01;3,68;
2011-02;3,68;
2011-03;3,87;
2011-04;3,80;
2011-05;3,61;
2011-06;3,73;
2011-07;3,40;
2011-08;3,03;
2011-09;2,72;
2011-10;2,97;
2011-11;3,09;
2011-12;2,55;
2012-01;2,66;
2012-02;2,60;
2012-03;2,63;
2012-04;2,53;
2012-05;1,99;
2012-06;2,42;
2012-07;2,20;
2012-08;2,16;
2012-09;2,27;
2012-10;2,33;
2012-11;2,26;
2012-12;2,14;
2013-01;2,35;
2013-02;2,32;
2013-03;2,18;
2013-04;2,07;
2013-05;2,33;
2013-06;2,48;
2013-07;2,50;
2013-08;2,65;
2013-09;2,61;
2013-10;2,59;
2013-11;2,64;
2013-12;2,79;
2014-01;2,51;
2014-02;2,46;
2014-03;2,45;
2014-04;2,39;
2014-05;2,25;
2014-06;2,16;
2014-07;2,03;
2014-08;1,72;
2014-09;1,83;
2014-10;1,59;
2014-11;1,44;
2014-12;1,26;
2015-01;0,86;
2015-02;0,92;
2015-03;0,56;
2015-04;0,76;
2015-05;1,09;
2015-06;1,54;
2015-07;1,31;
2015-08;1,35;
2015-09;1,26;
2015-10;1,16;
2015-11;1,23;
2015-12;1,42;
2016-01;1,01;
2016-02;0,74;
2016-03;0,75;
2016-04;0,85;
2016-05;0,76;
2016-06;0,31;
2016-07;0,28;
2016-08;0,31;
2016-09;0,28;
2016-10;0,67;
2016-11;0,78;
2016-12;0,80;
2017-01;1,06;
2017-02;0,84;
2017-03;0,95;
2017-04;0,96;
2017-05;0,99;
2017-06;1,06;
2017-07;1,19;
2017-08;0,97;
2017-09;1,08;
2017-10;1,07;
2017-11;1,02;
2017-12;1,05;
2018-01;1,15;
2018-02;1,18;
2018-03;1,01;
2018-04;1,08;
2018-05;0,94;
2018-06;0,89;
2018-07;0,93;
2018-08;0,86;
2018-09;0,94;
2018-10;0,89;
2018-11;0,84;
2018-12;0,73;
2019-01;0,62;
2019-02;0,64;
2019-03;0,43;
2019-04;0,54;
2019-05;0,30;
2019-06;0,13;
2019-07;0,02;
2019-08;-0,33;
2019-09;-0,22;
2019-10;-0,05;
2019-11;-0,01;
2019-12;0,18;
2020-01;-0,06;
2020-02;-0,30;
2020-03;-0,15;
2020-04;-0,20;
2020-05;-0,09;
2020-06;-0,16;
2020-07;-0,26;
2020-08;-0,04;
2020-09;-0,25;
2020-10;-0,33;
2020-11;-0,29;
2020-12;-0,28;
2021-01;-0,20;
2021-02;0,07;
2021-03;0,15;
2021-04;0,20;
2021-05;0,24;
2021-06;0,16;
2021-07;-0,10;
2021-08;-0,10;
2021-09;0,11;
2021-10;0,06;
2021-11;-0,16;
2021-12;0,02;
2022-01;0,13;
2022-02;0,34;
2022-03;0,65;
2022-04;0,91;
2022-05;1,30;
2022-06;1,69;
2022-07;1,16;
2022-08;1,67;
2022-09;2,16;
2022-10;2,26;
2022-11;1,90;
2022-12;2,54;
2023-01;2,32;
2023-02;2,66;
2023-03;2,43;
2023-04;2,43;
2023-05;2,44;
2023-06;2,45;
2023-07;2,62;
2023-08;2,64;
2023-09;3,01;
2023-10;3,01;
2023-11;2,68;
2023-12;2,28;
2024-01;2,44;
2024-02;2,66;
2024-03;2,48;
2024-04;2,71;
2024-05;2,87;
2024-06;2,67;
2024-07;2,55;
2024-08;2,50;
2024-09;2,46;
2024-10;2,64;
2024-11;2,32;
2024-12;2,61;
