"";BBSIS.M.I.ZAR.ZI.EUR.S1311.B.A604.R28XX.R.A.A._Z._Z.A;BBSIS.M.I.ZAR.ZI.EUR.S1311.B.A604.R28XX.R.A.A._Z._Z.A_FLAGS
"";Aus der Zinsstruktur abgeleitete Renditen für Bundeswertpapiere  mit jährl. Kuponzahlungen / RLZ 28 Jahre / Monatswerte;
Dezimalstellen;2;
Dimension;Eins;
Einheit;Prozent;
Einheit (englisch);percent;
Format der Zeitangabe;P1M;
Kategorie;GKZR;
Stand vom;02.01.2025 10:53:38 Uhr;
2000-01;6,07;
2000-02;5,91;
2000-03;5,66;
2000-04;5,66;
2000-05;5,48;
2000-06;5,51;
2000-07;5,46;
2000-08;5,49;
2000-09;5,64;
2000-10;5,63;
2000-11;5,50;
2000-12;5,45;
2001-01;5,43;
2001-02;5,39;
2001-03;5,40;
2001-04;5,61;
2001-05;5,77;
2001-06;5,68;
2001-07;5,52;
2001-08;5,49;
2001-09;5,59;
2001-10;5,22;
2001-11;5,19;
2001-12;5,41;
2002-01;5,32;
2002-02;5,38;
2002-03;5,63;
2002-04;5,58;
2002-05;5,54;
2002-06;5,35;
2002-07;5,31;
2002-08;5,09;
2002-09;4,99;
2002-10;5,22;
2002-11;5,15;
2002-12;4,93;
2003-01;4,76;
2003-02;4,81;
2003-03;4,92;
2003-04;4,95;
2003-05;4,60;
2003-06;4,79;
2003-07;4,95;
2003-08;4,91;
2003-09;4,88;
2003-10;5,06;
2003-11;5,08;
2003-12;4,96;
2004-01;5,00;
2004-02;4,86;
2004-03;4,81;
2004-04;4,99;
2004-05;5,02;
2004-06;4,99;
2004-07;4,93;
2004-08;4,79;
2004-09;4,69;
2004-10;4,59;
2004-11;4,46;
2004-12;4,37;
2005-01;4,10;
2005-02;4,21;
2005-03;4,20;
2005-04;4,03;
2005-05;3,89;
2005-06;3,74;
2005-07;3,75;
2005-08;3,66;
2005-09;3,71;
2005-10;3,87;
2005-11;3,87;
2005-12;3,68;
2006-01;3,81;
2006-02;3,79;
2006-03;4,03;
2006-04;4,26;
2006-05;4,28;
2006-06;4,37;
2006-07;4,24;
2006-08;4,08;
2006-09;3,89;
2006-10;3,93;
2006-11;3,90;
2006-12;4,09;
2007-01;4,24;
2007-02;4,12;
2007-03;4,27;
2007-04;4,41;
2007-05;4,57;
2007-06;4,73;
2007-07;4,54;
2007-08;4,60;
2007-09;4,67;
2007-10;4,55;
2007-11;4,59;
2007-12;4,70;
2008-01;4,57;
2008-02;4,58;
2008-03;4,67;
2008-04;4,73;
2008-05;4,91;
2008-06;4,96;
2008-07;4,78;
2008-08;4,58;
2008-09;4,68;
2008-10;4,39;
2008-11;3,82;
2008-12;3,71;
2009-01;4,00;
2009-02;3,95;
2009-03;4,04;
2009-04;4,06;
2009-05;4,46;
2009-06;4,32;
2009-07;4,17;
2009-08;4,09;
2009-09;4,04;
2009-10;4,12;
2009-11;4,02;
2009-12;4,16;
2010-01;3,99;
2010-02;3,92;
2010-03;3,86;
2010-04;3,73;
2010-05;3,40;
2010-06;3,33;
2010-07;3,41;
2010-08;2,69;
2010-09;2,92;
2010-10;3,08;
2010-11;3,20;
2010-12;3,48;
2011-01;3,64;
2011-02;3,63;
2011-03;3,85;
2011-04;3,80;
2011-05;3,62;
2011-06;3,78;
2011-07;3,42;
2011-08;3,15;
2011-09;2,75;
2011-10;2,95;
2011-11;3,04;
2011-12;2,44;
2012-01;2,59;
2012-02;2,52;
2012-03;2,55;
2012-04;2,48;
2012-05;1,91;
2012-06;2,39;
2012-07;2,24;
2012-08;2,17;
2012-09;2,28;
2012-10;2,36;
2012-11;2,29;
2012-12;2,15;
2013-01;2,38;
2013-02;2,33;
2013-03;2,22;
2013-04;2,12;
2013-05;2,36;
2013-06;2,49;
2013-07;2,50;
2013-08;2,65;
2013-09;2,61;
2013-10;2,63;
2013-11;2,65;
2013-12;2,79;
2014-01;2,51;
2014-02;2,51;
2014-03;2,48;
2014-04;2,43;
2014-05;2,30;
2014-06;2,23;
2014-07;2,09;
2014-08;1,81;
2014-09;1,93;
2014-10;1,80;
2014-11;1,65;
2014-12;1,47;
2015-01;1,02;
2015-02;1,04;
2015-03;0,67;
2015-04;0,90;
2015-05;1,15;
2015-06;1,62;
2015-07;1,41;
2015-08;1,42;
2015-09;1,35;
2015-10;1,25;
2015-11;1,33;
2015-12;1,52;
2016-01;1,09;
2016-02;0,85;
2016-03;0,87;
2016-04;1,04;
2016-05;0,94;
2016-06;0,45;
2016-07;0,41;
2016-08;0,46;
2016-09;0,43;
2016-10;0,83;
2016-11;0,86;
2016-12;0,96;
2017-01;1,23;
2017-02;1,04;
2017-03;1,14;
2017-04;1,15;
2017-05;1,18;
2017-06;1,24;
2017-07;1,35;
2017-08;1,16;
2017-09;1,27;
2017-10;1,24;
2017-11;1,17;
2017-12;1,24;
2018-01;1,29;
2018-02;1,30;
2018-03;1,16;
2018-04;1,22;
2018-05;1,09;
2018-06;1,04;
2018-07;1,08;
2018-08;1,02;
2018-09;1,08;
2018-10;1,04;
2018-11;1,00;
2018-12;0,88;
2019-01;0,78;
2019-02;0,80;
2019-03;0,60;
2019-04;0,72;
2019-05;0,47;
2019-06;0,29;
2019-07;0,20;
2019-08;-0,19;
2019-09;-0,06;
2019-10;0,10;
2019-11;0,13;
2019-12;0,31;
2020-01;0,08;
2020-02;-0,17;
2020-03;-0,02;
2020-04;-0,10;
2020-05;0,02;
2020-06;-0,04;
2020-07;-0,14;
2020-08;0,09;
2020-09;-0,13;
2020-10;-0,24;
2020-11;-0,18;
