"";BBSIS.M.I.ZAR.ZI.EUR.S1311.B.A604.R27XX.R.A.A._Z._Z.A;BBSIS.M.I.ZAR.ZI.EUR.S1311.B.A604.R27XX.R.A.A._Z._Z.A_FLAGS
"";Aus der Zinsstruktur abgeleitete Renditen für Bundeswertpapiere  mit jährl. Kuponzahlungen / RLZ 27 Jahre / Monatswerte;
Dezimalstellen;2;
Dimension;Eins;
Einheit;Prozent;
Einheit (englisch);percent;
Format der Zeitangabe;P1M;
Kategorie;GKZR;
Stand vom;02.01.2025 10:53:38 Uhr;
2000-01;6,06;
2000-02;5,89;
2000-03;5,65;
2000-04;5,66;
2000-05;5,48;
2000-06;5,51;
2000-07;5,45;
2000-08;5,49;
2000-09;5,63;
2000-10;5,62;
2000-11;5,49;
2000-12;5,43;
2001-01;5,41;
2001-02;5,38;
2001-03;5,39;
2001-04;5,59;
2001-05;5,76;
2001-06;5,67;
2001-07;5,51;
2001-08;5,48;
2001-09;5,57;
2001-10;5,20;
2001-11;5,18;
2001-12;5,40;
2002-01;5,32;
2002-02;5,38;
2002-03;5,62;
2002-04;5,57;
2002-05;5,53;
2002-06;5,34;
2002-07;5,30;
2002-08;5,08;
2002-09;4,98;
2002-10;5,21;
2002-11;5,14;
2002-12;4,92;
2003-01;4,75;
2003-02;4,80;
2003-03;4,90;
2003-04;4,94;
2003-05;4,58;
2003-06;4,77;
2003-07;4,93;
2003-08;4,90;
2003-09;4,87;
2003-10;5,05;
2003-11;5,07;
2003-12;4,95;
2004-01;4,99;
2004-02;4,85;
2004-03;4,79;
2004-04;4,98;
2004-05;5,01;
2004-06;4,98;
2004-07;4,91;
2004-08;4,78;
2004-09;4,68;
2004-10;4,58;
2004-11;4,44;
2004-12;4,36;
2005-01;4,09;
2005-02;4,20;
2005-03;4,19;
2005-04;4,02;
2005-05;3,88;
2005-06;3,73;
2005-07;3,74;
2005-08;3,65;
2005-09;3,70;
2005-10;3,86;
2005-11;3,86;
2005-12;3,67;
2006-01;3,80;
2006-02;3,79;
2006-03;4,02;
2006-04;4,26;
2006-05;4,27;
2006-06;4,37;
2006-07;4,24;
2006-08;4,08;
2006-09;3,89;
2006-10;3,93;
2006-11;3,90;
2006-12;4,09;
2007-01;4,24;
2007-02;4,12;
2007-03;4,27;
2007-04;4,41;
2007-05;4,56;
2007-06;4,73;
2007-07;4,54;
2007-08;4,59;
2007-09;4,66;
2007-10;4,54;
2007-11;4,58;
2007-12;4,70;
2008-01;4,56;
2008-02;4,57;
2008-03;4,65;
2008-04;4,73;
2008-05;4,90;
2008-06;4,96;
2008-07;4,79;
2008-08;4,58;
2008-09;4,67;
2008-10;4,40;
2008-11;3,84;
2008-12;3,72;
2009-01;4,01;
2009-02;3,96;
2009-03;4,05;
2009-04;4,08;
2009-05;4,46;
2009-06;4,32;
2009-07;4,17;
2009-08;4,08;
2009-09;4,04;
2009-10;4,13;
2009-11;4,02;
2009-12;4,16;
2010-01;4,00;
2010-02;3,92;
