"";BBSIS.M.I.ZAR.ZI.EUR.S1311.B.A604.R16XX.R.A.A._Z._Z.A;BBSIS.M.I.ZAR.ZI.EUR.S1311.B.A604.R16XX.R.A.A._Z._Z.A_FLAGS
2019-04;0,39;
2019-05;0,15;
2019-06;0,00;
2019-07;-0,12;
2019-08;-0,44;
2019-09;-0,33;
2019-10;-0,17;
2019-11;-0,12;
2019-12;0,07;
2020-01;-0,17;
2020-02;-0,40;
2020-03;-0,25;
2020-04;-0,29;
2020-05;-0,18;
2020-06;-0,26;
2020-07;-0,36;
2020-08;-0,14;
2020-09;-0,35;
2020-10;-0,42;
2020-11;-0,38;
2020-12;-0,37;
2021-01;-0,31;
2021-02;-0,03;
2021-03;0,03;
2021-04;0,09;
2021-05;0,13;
2021-06;0,06;
2021-07;-0,21;
2021-08;-0,20;
2021-09;0,01;
2021-10;0,01;
2021-11;-0,22;
2021-12;-0,05;
2022-01;0,07;
2022-02;0,28;
2022-03;0,63;
2022-04;0,87;
2022-05;1,25;
2022-06;1,64;
2022-07;1,11;
2022-08;1,65;
2022-09;2,17;
2022-10;2,26;
2022-11;1,94;
2022-12;2,57;
2023-01;2,34;
2023-02;2,68;
2023-03;2,42;
2023-04;2,41;
2023-05;2,40;
2023-06;2,45;
2023-07;2,61;
2023-08;2,61;
2023-09;2,98;
2023-10;2,97;
2023-11;2,65;
2023-12;2,24;
2024-01;2,40;
2024-02;2,64;
2024-03;2,46;
2024-04;2,69;
2024-05;2,85;
2024-06;2,65;
2024-07;2,51;
2024-08;2,45;
2024-09;2,40;
2024-10;2,60;
2024-11;2,29;
2024-12;2,58;
