"";BBSIS.M.I.ZAR.ZI.EUR.S1311.B.A604.R25XX.R.A.A._Z._Z.A;BBSIS.M.I.ZAR.ZI.EUR.S1311.B.A604.R25XX.R.A.A._Z._Z.A_FLAGS
2018-12;0,84;
2019-01;0,73;
2019-02;0,75;
2019-03;0,55;
2019-04;0,66;
2019-05;0,42;
2019-06;0,24;
2019-07;0,15;
2019-08;-0,23;
2019-09;-0,11;
2019-10;0,06;
2019-11;0,08;
2019-12;0,27;
2020-01;0,04;
2020-02;-0,21;
2020-03;-0,06;
2020-04;-0,13;
2020-05;-0,02;
2020-06;-0,08;
2020-07;-0,18;
2020-08;0,05;
2020-09;-0,17;
2020-10;-0,27;
2020-11;-0,21;
2020-12;-0,19;
2021-01;-0,11;
2021-02;0,15;
2021-03;0,24;
2021-04;0,30;
2021-05;0,34;
2021-06;0,25;
2021-07;-0,01;
2021-08;-0,01;
2021-09;0,19;
2021-10;0,10;
2021-11;-0,10;
2021-12;0,08;
2022-01;0,18;
2022-02;0,38;
2022-03;0,67;
2022-04;0,95;
2022-05;1,31;
2022-06;1,68;
2022-07;1,17;
2022-08;1,65;
2022-09;2,12;
2022-10;2,22;
2022-11;1,85;
2022-12;2,48;
2023-01;2,26;
2023-02;2,61;
2023-03;2,39;
2023-04;2,44;
2023-05;2,43;
2023-06;2,45;
2023-07;2,60;
2023-08;2,62;
2023-09;3,00;
2023-10;3,02;
2023-11;2,66;
2023-12;2,27;
2024-01;2,44;
2024-02;2,63;
2024-03;2,47;
2024-04;2,68;
2024-05;2,84;
2024-06;2,65;
2024-07;2,55;
2024-08;2,50;
2024-09;2,48;
2024-10;2,63;
2024-11;2,32;
2024-12;2,61;
